"stid","discid","semnum","stmark"
2239,979,6,88
2222,3,6,85
2227,48,6,82
2220,293,6,90
2223,277,6,95
2223,113,6,100
2226,975,6,80
2226,976,6,69
2223,293,6,90
2239,3,6,81
2226,48,6,78
2217,977,6,66
2220,113,6,95
2255,339,6,90
2220,277,6,85
2222,979,6,76
2227,975,6,93
2227,976,6,40
2236,978,6,70
2255,3,6,70
2236,177,6,85
2226,977,6,65
2242,979,6,77
2968,979,6,70
2217,48,6,80
2235,3,6,90
2240,177,6,75
2228,3,6,95
2241,3,6,86
2255,302,6,76
2240,978,6,84
2237,979,6,76
2242,3,6,95
2968,3,6,90
2235,979,6,90
2238,177,6,80
2228,979,6,79
2227,977,6,67
2241,979,6,79
2217,976,6,69
2217,975,6,94
2237,3,6,90
2238,978,6,90
2222,177,6,75
2227,113,6,100
2227,277,6,95
2220,976,6,69
2220,975,6,99
2222,978,6,85
2236,979,6,77
2223,48,6,90
2226,293,6,93
2226,113,6,95
2226,277,6,80
2223,976,6,37
2223,975,6,82
2239,177,6,85
2227,293,6,87
2220,48,6,90
2255,978,6,40
2236,3,6,75
2255,177,6,75
2239,978,6,90
2238,979,6,88
2240,3,6,86
2235,177,6,75
2217,113,6,90
2217,277,6,78
2228,978,6,85
2241,978,6,80
2220,977,6,67
2235,978,6,70
2241,177,6,75
2228,177,6,75
2240,979,6,79
2237,978,6,80
2238,3,6,81
2968,177,6,85
2242,177,6,75
2217,293,6,84
2237,177,6,78
2223,977,6,68
2242,978,6,70
2968,978,6,70
2238,293,6,90
2968,975,6,76
2968,976,6,69
2242,975,6,81
2242,976,6,39
2228,48,6,67
2241,48,6,79
2255,977,6,64
2235,48,6,79
2217,3,6,95
2240,113,6,100
2240,277,6,76
2237,975,6,75
2237,976,6,68
2239,977,6,66
2240,293,6,85
2237,48,6,75
2235,976,6,39
2235,975,6,87
2217,979,6,87
2241,976,6,70
2222,977,6,64
2241,975,6,86
2228,976,6,37
2228,975,6,80
2238,113,6,95
2238,277,6,91
2242,48,6,75
2968,48,6,78
2239,975,6,91
2239,976,6,69
2237,977,6,66
2227,3,6,87
2223,177,6,75
2255,975,6,62
2255,976,6,36
2236,293,6,0
2222,48,6,78
2223,978,6,80
2242,977,6,67
2226,979,6,76
2968,977,6,68
2227,979,6,79
2228,977,6,67
2222,976,6,36
2241,977,6,64
2222,975,6,79
2220,978,6,80
2255,48,6,74
2236,277,6,78
2236,113,6,100
2235,977,6,65
2226,3,6,86
2220,177,6,75
2239,48,6,86
2238,976,6,69
2238,975,6,88
2968,293,6,91
2242,293,6,83
2228,113,6,90
2228,277,6,75
2217,978,6,70
2241,277,6,88
2241,113,6,100
2236,977,6,0
2235,277,6,75
2235,113,6,90
2240,48,6,89
2217,177,6,85
2237,293,6,86
2237,113,6,90
2237,277,6,75
2240,975,6,91
2240,976,6,69
2235,293,6,86
2241,293,6,81
2228,293,6,86
2238,48,6,81
2242,113,6,95
2242,277,6,65
2968,277,6,65
2968,113,6,90
2239,293,6,97
2223,3,6,85
2227,177,6,85
2227,978,6,89
2236,976,6,20
2236,975,6,70
2220,979,6,90
2222,277,6,75
2222,113,6,95
2238,977,6,64
2223,979,6,85
2226,978,6,95
2255,277,6,65
2255,113,6,80
2222,293,6,85
2236,48,6,80
2220,3,6,93
2226,177,6,75
2240,977,6,65
2239,277,6,80
2239,113,6,100